variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status,workflow_role,upstream_derivation_status
hypercap_on_abg,Hypercapnia on ABG,Upstream flag for ABG hypercapnia,Used for Bulbul case definition,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Upstream threshold needs confirmation Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
vbg_co2,Day-1 venous pCO2,Venous partial pressure of carbon dioxide on first calendar day,Used in VBG-eligible definitions,continuous,mmHg,numeric mmHg; source range unresolved,,,full_db.dta,,numeric physiologic range,TriNetX calendar-day resolution Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
vbg_ph,Day-1 VBG pH,Venous pH on first calendar day,Used in VBG-eligible definitions,continuous,pH units,numeric pH; source range unresolved,,,full_db.dta,,numeric,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
vbg_po2,Day-1 VBG pO2,Venous oxygen partial pressure,Displayed in diagnostic list only,continuous,mmHg,numeric mmHg; source range unresolved,,,full_db.dta,,numeric,Not used in models in current do-file Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
highest_vbg_co2_flag,Highest VBG hypercapnia flag,Indicator for highest VBG CO2 meeting hypercapnia threshold,Used to create highest_any_flag,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Upstream window and threshold need confirmation Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
vbg_or_abg_co2_flag,Any blood-gas hypercapnia flag,Indicator for ABG or VBG CO2 abnormality,Used in cohort descriptive table,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Upstream derivation needs confirmation Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
has_abg,ABG obtained flag,Indicator that ABG data are available on first day,Used for testing-strategy categories and ABG-only analyses,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_vbg,VBG obtained flag,Indicator that VBG data are available on first day,Used for testing-strategy categories and VBG-only analyses,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_vbg_and_cat,VBG category availability,VBG availability or category variable,Used in descriptive table,categorical,,source category coding unresolved,,,full_db.dta,,category coding unknown,Value labels not visible in repo Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
abg_ph,Day-1 arterial pH,Arterial pH on first calendar day,Used in multiple case definitions and descriptive tables,continuous,pH units,numeric pH; source range unresolved,,,full_db.dta,,numeric,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
serum_hco3,Serum bicarbonate,Serum bicarbonate value,Used in descriptive table,continuous,mEq/L,numeric mEq/L; source range unresolved,,,full_db.dta,,numeric,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
acidemia,Acidemia flag,Indicator of acidemia,Listed and used in descriptive tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Threshold from upstream preprocessing needs confirmation Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
vent_proc,Any ventilatory support procedure,Procedure-based ventilatory support flag,Used in Adler and Thille definitions and descriptive tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
niv_proc,Noninvasive ventilation procedure,Procedure flag for noninvasive ventilation,Used in Calvo definition,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
imv_proc,Invasive mechanical ventilation procedure,Procedure flag for invasive ventilation,Displayed in diagnostic list only,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
cc_time,Critical care billing flag,Critical care administrative or billing flag,Used in descriptive and workup tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
hypercap_resp_failure,Hypercapnic respiratory failure diagnosis,Any hypercapnic respiratory failure diagnosis-code flag,Used as Meservey definition and diagnosis-code outcome,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,ICD-10-CM source codes listed in README Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
ohs_code,Obesity hypoventilation diagnosis,Diagnosis-code flag for obesity hypoventilation,Used in diagnostic performance tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Usually ICD-10-CM E66.2 Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
has_j9602,J96.02 diagnosis flag,Acute respiratory failure with hypercapnia flag,Used in diagnostic performance tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_j9612,J96.12 diagnosis flag,Chronic respiratory failure with hypercapnia flag,Used in diagnostic performance tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_j9622,J96.22 diagnosis flag,Acute and chronic respiratory failure with hypercapnia flag,Used in diagnostic performance tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_j9692,J96.92 diagnosis flag,Respiratory failure with hypercapnia unspecified flag,Used in diagnostic performance tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_j9600,J96.00 diagnosis flag,Acute respiratory failure unspecified oxygenation flag,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_j9601,J96.01 diagnosis flag,Acute respiratory failure with hypoxia flag,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_j9610,J96.10 diagnosis flag,Chronic respiratory failure unspecified oxygenation flag,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_j9611,J96.11 diagnosis flag,Chronic respiratory failure with hypoxia flag,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_j9620,J96.20 diagnosis flag,Acute and chronic respiratory failure unspecified oxygenation flag,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_j9621,J96.21 diagnosis flag,Acute and chronic respiratory failure with hypoxia flag,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_j9690,J96.90 diagnosis flag,Respiratory failure unspecified oxygenation flag,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
has_j9691,J96.91 diagnosis flag,Respiratory failure with hypoxia flag,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
resp_acid_dx,Respiratory acidosis diagnosis flag,Diagnosis flag for respiratory acidosis,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
sleep_hypovent_dx,Sleep hypoventilation diagnosis flag,Diagnosis flag for sleep-related hypoventilation,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
cchs_dx,Congenital central hypoventilation diagnosis flag,Diagnosis flag for congenital central hypoventilation syndrome,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
other_sleep_hypovent_dx,Other sleep hypoventilation diagnosis flag,Diagnosis flag for other sleep hypoventilation,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
other_abn_of_br,Other breathing abnormality diagnosis flag,Diagnosis flag for other breathing abnormality,Used in diagnostic performance sensitivity tables,binary,,0 or 1,0=no;1=yes,,full_db.dta,,0 or 1 or missing,Exact code list not visible in repo Current use is observed from downstream code; upstream derivation is not verified in this public repository.,needs_review,runtime_input,blocked
died,Death indicator,Observed death during available follow-up,Used in survival analyses and short-term mortality indicators,binary,,0 or 1,0=alive or censored;1=died,,full_db.dta,,0 or 1 or missing,Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
months_death_or_cens,Months to death or censoring,Follow-up time to death or censoring,Used for survival analyses,continuous,months,nonnegative numeric months; source precision unresolved,,,full_db.dta,recode min/-1 and 17/max to missing,nonnegative after cleaning,Upper censoring rule is code-derived Current use is observed from downstream code; upstream derivation is not verified in this public repository.,draft,runtime_input,blocked
abg_vbg_confusion_matrix,Blood-gas testing category,Category describing ABG and VBG availability on first day,Used for testing-strategy sensitivity analysis,categorical,,0 to 3,0=neither;1=ABG only;2=VBG only;3=both,,derived in Stata,0 default then set from has_abg and has_vbg,integer 0 to 3,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
def1,Adler case definition,Emulated Adler definition,ABG hypercapnia threshold plus ventilatory support,binary,,0 or 1,0=not included;1=Adler,,derived in Stata,paco2 >= 47.25 and vent_proc == 1,0 or 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
def2,Thille case definition,Emulated Thille definition,ABG hypercapnia plus acidemia plus ventilatory support,binary,,0 or 1,0=not included;1=Thille,,derived in Stata,paco2 >= 45 and abg_ph < 7.35 and vent_proc == 1,0 or 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
def3,Ouanes-Besbes case definition,Emulated Ouanes-Besbes definition,ABG hypercapnia plus acidemia,binary,,0 or 1,0=not included;1=Ouanes-Besbes,,derived in Stata,paco2 >= 45 and abg_ph < 7.35,0 or 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
def4,Calvo case definition,Emulated Calvo definition,ABG hypercapnia plus acidemia plus NIV,binary,,0 or 1,0=not included;1=Calvo,,derived in Stata,def3 == 1 and niv_proc == 1,0 or 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
def5,Bulbul case definition,Emulated Bulbul definition,Uses upstream hypercap_on_abg flag,binary,,0 or 1,0=not included;1=Bulbul,,derived in Stata,def5 = hypercap_on_abg,0 or 1,Upstream hypercap_on_abg definition not visible Derivation is observed from the current Stata code and is not independently source-verified.,needs_review,derived_analysis,not_applicable
def6,Meservey case definition,Emulated Meservey definition,Uses hypercapnic respiratory failure diagnosis flag,binary,,0 or 1,0=not included;1=Meservey,,derived in Stata,def6 = hypercap_resp_failure,0 or 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
def7,Vonderbank case definition,Emulated Vonderbank definition,ABG or qualifying VBG criteria,binary,,0 or 1,0=not included;1=Vonderbank,,derived in Stata,paco2 >= 45 or vbg_co2 >= 45 and vbg_ph >= 7.35,0 or 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
def8,Wilson case definition,Emulated Wilson definition,ABG hypercapnia with pH 7.35 to 7.45,binary,,0 or 1,0=not included;1=Wilson,,derived in Stata,paco2 >= 45 and abg_ph >= 7.35 and abg_ph <= 7.45,0 or 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
def9,Cavalot case definition,Emulated Cavalot definition,ABG acidemic hypercapnia or VBG acidemic hypercapnia,binary,,0 or 1,0=not included;1=Cavalot,,derived in Stata,paco2 >= 45 and abg_ph <= 7.35 or vbg_co2 >= 50 and vbg_ph <= 7.34,0 or 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
def10,Chung case definition,Emulated Chung definition,ABG hypercapnia with pH below 7.45,binary,,0 or 1,0=not included;1=Chung,,derived in Stata,paco2 >= 45 and abg_ph < 7.45,0 or 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
highest_any_flag,Highest ABG or VBG hypercapnia flag,Either highest_paco2_flag or highest_vbg_co2_flag is positive,Used in diagnostic performance table,binary,,0 or 1,0=no;1=yes,,derived in Stata,1 if highest_paco2_flag == 1 or highest_vbg_co2_flag == 1,0 or 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
died_1mo,One-month death flag,Death within first month of follow-up,Used in case-definition descriptive summaries,binary,,0 or 1,0=no;1=yes,,derived in Stata,died == 1 and months_death_or_cens < 1,0 or 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
died_2mo,Two-month death flag,Death within two months of follow-up,Used in case-definition descriptive summaries,binary,,0 or 1,0=no;1=yes,,derived in Stata,died == 1 and months_death_or_cens <= 1,0 or 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
death_time,Month of death,Follow-up month of death among deaths,Used in descriptive summaries,continuous,months,numeric months or missing,,,derived in Stata,months_death_or_cens if died == 1,numeric or missing,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
paco2_rounded,Rounded PaCO2,PaCO2 rounded to 0.1 mmHg for spline models,Spline model predictor,continuous,mmHg,numeric mmHg rounded to 0.1,,,derived in Stata,round(paco2 0.1),numeric,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
rc*,Restricted cubic spline basis,Spline basis variables generated from paco2_rounded,Used in logistic spline models,continuous,,numeric spline basis value,,,derived in Stata,mkspline2 rc = paco2_rounded cubic nknots(5),numeric,Wildcard represents rc1 and later basis terms Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
pa,Spline prediction grid,PaCO2 values used for spline predictions,Generated by xblc,continuous,mmHg,numeric PaCO2 prediction-grid value,,,derived in Stata,xblc generate pa odds lb ub,numeric,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
odds,Spline-predicted odds,Predicted odds of hypercapnic respiratory failure diagnosis code,Generated by xblc,continuous,odds,positive numeric,,,derived in Stata,xblc generate pa odds lb ub,positive numeric,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
lb,Spline odds lower bound,Lower confidence bound for predicted odds,Generated by xblc,continuous,odds,positive numeric,,,derived in Stata,xblc generate pa odds lb ub,positive numeric,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
ub,Spline odds upper bound,Upper confidence bound for predicted odds,Generated by xblc,continuous,odds,positive numeric,,,derived in Stata,xblc generate pa odds lb ub,positive numeric,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
log_odds,Log predicted odds,Natural log of spline-predicted odds,Intermediate plotting variable,continuous,log odds,numeric,,,derived in Stata,ln(odds),numeric,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
log_lb,Log lower bound,Natural log of spline lower bound,Intermediate plotting variable,continuous,log odds,numeric,,,derived in Stata,ln(lb),numeric,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
log_ub,Log upper bound,Natural log of spline upper bound,Intermediate plotting variable,continuous,log odds,numeric,,,derived in Stata,ln(ub),numeric,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
prob_hypercap,Predicted diagnosis-code probability,Probability-scale transformation of predicted odds,Plotted against PaCO2,continuous,probability,0 to 1,,,derived in Stata,odds divided by 1 plus odds,0 <= value <= 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
pr_lb,Predicted probability lower bound,Probability-scale lower confidence bound,Plotted against PaCO2,continuous,probability,0 to 1,,,derived in Stata,lb divided by 1 plus lb,0 <= value <= 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
pr_ub,Predicted probability upper bound,Probability-scale upper confidence bound,Plotted against PaCO2,continuous,probability,0 to 1,,,derived in Stata,ub divided by 1 plus ub,0 <= value <= 1,Derivation is observed from the current Stata code and is not independently source-verified.,draft,derived_analysis,not_applicable
